id,lat,lon
N1,-10.9464244,-37.0572012
N2,-10.9472747,-37.0576930
N3,-10.9455778,-37.0624593
N4,-10.9462675,-37.0613488
N5,-10.9451090,-37.0606119
N6,-10.9476593,-37.0622099
N7,-10.9464970,-37.0622810
N8,-10.9465251,-37.0599284
N9,-10.9480764,-37.0610061
N10,-10.9454033,-37.0591921
N11,-10.9453131,-37.0591331
N12,-10.9441755,-37.0617467
N13,-10.9484541,-37.0604396
N14,-10.9491790,-37.0593044
N15,-10.9490112,-37.0600365
N16,-10.9477407,-37.0591572
N17,-10.9485251,-37.0605063
N18,-10.9462396,-37.0589935
N19,-10.9449052,-37.0620563
N20,-10.9434509,-37.0579507
N21,-10.9441491,-37.0621284
N22,-10.9473400,-37.0579000
N23,-10.9474336,-37.0577632
N24,-10.9479157,-37.0573190
N25,-10.9475594,-37.0574922
N26,-10.9481105,-37.0585865
N27,-10.9481554,-37.0535290
N28,-10.9458406,-37.0528869
N29,-10.9453634,-37.0568980
N30,-10.9452598,-37.0566695
N31,-10.9478649,-37.0575848
N32,-10.9434244,-37.0563509
N33,-10.9454916,-37.0616374
N34,-10.9444807,-37.0618365
N35,-10.9438033,-37.0577148
N36,-10.9454840,-37.0588232
N37,-10.9474855,-37.0577398
N38,-10.9514589,-37.0638716
N39,-10.9478053,-37.0624538
N40,-10.9477371,-37.0625796
N41,-10.9514447,-37.0639631
N42,-10.9446651,-37.0608182
N43,-10.9449276,-37.0601412
N44,-10.9450074,-37.0605875
N45,-10.9449431,-37.0601866
N46,-10.9528818,-37.0564559
N47,-10.9496615,-37.0654667
N48,-10.9428052,-37.0610238
N49,-10.9438924,-37.0563148
N50,-10.9437803,-37.0564419
N51,-10.9488882,-37.0565295
N52,-10.9485045,-37.0564760
N53,-10.9483911,-37.0564533
N54,-10.9486068,-37.0566979
N55,-10.9504785,-37.0584561
N56,-10.9487190,-37.0589737
N57,-10.9494981,-37.0595394
N58,-10.9490825,-37.0599774
N59,-10.9490549,-37.0633899
N60,-10.9475955,-37.0624396
N61,-10.9497320,-37.0589259
N62,-10.9479957,-37.0613999
N63,-10.9477411,-37.0613264
N64,-10.9476495,-37.0619091
N65,-10.9478360,-37.0619122
N66,-10.9443523,-37.0586092
N67,-10.9438865,-37.0580911
N68,-10.9435997,-37.0578793
N69,-10.9420167,-37.0577813
N70,-10.9437691,-37.0588247
N71,-10.9443764,-37.0596271
N72,-10.9438691,-37.0611180
N73,-10.9438683,-37.0609868
N74,-10.9440029,-37.0615391
N75,-10.9443752,-37.0613357
N76,-10.9443419,-37.0607800
N77,-10.9443182,-37.0609235
N78,-10.9446030,-37.0609416
N79,-10.9447905,-37.0606078
N80,-10.9448193,-37.0608833
N81,-10.9433498,-37.0607300
N82,-10.9435550,-37.0585458
N83,-10.9439658,-37.0581712
N84,-10.9444420,-37.0597380
N85,-10.9449596,-37.0593087
N86,-10.9444347,-37.0599051
N87,-10.9450453,-37.0594099
N88,-10.9448238,-37.0595861
N89,-10.9450844,-37.0596071
N90,-10.9446898,-37.0597111
N91,-10.9450556,-37.0597386
N92,-10.9445334,-37.0598378
N93,-10.9450240,-37.0598774
N94,-10.9444271,-37.0599685
